"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ttll5",135.641142039864,0.155802924079979,0.25986745989562,0.599547646875679,0.548807746785323,0.772633111030351
"Tgfb3",36.9881749842143,-0.459141983242418,0.61811178837386,-0.742813827334272,0.457594402797411,0.709044303816912
"Ift43",67.8780270641031,-0.0973397160789667,0.294904268367671,-0.33007225232023,0.741345368818657,0.884190034466429
"Gpatch2l",315.504447695878,-0.389471949759655,0.166257447991203,-2.34258347199135,0.019150749629251,0.105095041987567
"Esrrb",27.8869762429972,0.327375212414912,0.414496161886569,0.789814822228684,0.429635921455566,0.689750730087397
"Vash1",81.7364752148272,-0.277538540522186,0.443454156141765,-0.625856216879071,0.531409254579328,0.762332177787439
"Angel1",143.577239068074,-0.17416264830364,0.223133059919718,-0.780532693659574,0.43507739147051,0.693668946561163
"Irf2bpl",689.351440003786,0.228837536010889,0.178376587678053,1.28288997446185,0.199530625735197,0.461988451356758
"Cipc",631.473258001191,0.552538839690597,0.144530534806774,3.82299034892037,0.000131842941904772,0.00235010861829511
"Tmem63c",0.388585797492991,2.29216867600807,4.0356443077299,0.567980847969587,0.570047972637601,NA
"Ngb",2.8731594503941,0.878630986370248,1.4605908909296,0.601558582780864,0.547468005190158,0.771805792421451
"Pomt2",549.994164081222,0.194583937696271,0.161768921856454,1.20285117476975,0.229033917312257,0.499668569790971
"Gstz1",12525.8373073247,0.618430254784989,0.203410003652813,3.04031386696471,0.00236331720341832,0.0227362314062565
"Tmed8",113.295900730052,0.254661376259397,0.282067047051474,0.902839870596171,0.366610887069576,0.635509002718219
"Samd15",0.569014633980866,2.84676974968825,3.54794537592567,0.802371358083697,0.422338176045158,NA
"Noxred1",0.515682313675106,1.27293125199432,3.03958988716664,0.418783881789028,0.675374085577193,NA
"Vipas39",356.806294515965,-0.0345295134159737,0.171576182407434,-0.201248873424507,0.840503977689453,0.932337271768506
"Ahsa1",2023.38384049127,0.635366026895747,0.132581926088525,4.7922521993798,1.64919405978811e-06,5.8648443210336e-05
"Ism2",12.215024401405,-0.417580991115023,0.868127601723281,-0.481013379007995,0.630506989977791,0.82224835951502
"Sptlc2",929.45301944454,-0.234853837261123,0.251678658076463,-0.933149592643534,0.350742736631911,0.622134746223655
"Alkbh1",47.1008802245133,-0.799270734958451,0.379792974377399,-2.10449057481568,0.0353356759215892,0.15864614248921
